Codes;Language;Family;Examples
af;Afrikaans;Indo-European;19646
akk;Akkadian;Afro-Asiatic;15037
aqz;Akuntsu;Tupian;79
sq;Albanian;Indo-European;380
am;Amharic;Afro-Asiatic;7166
grc;Ancient Greek;Indo-European;566076
apu;Apurina;Arawakan;176
ar;Arabic;Afro-Asiatic;484604
hy;Armenian;Indo-European;37117
aii;Assyrian;Afro-Asiatic;152
bm;Bambara;Mande;4829
eu;Basque;Basque;191646
bej;Beja;Afro-Asiatic;347
be;Belarusian;Indo-European;445666
bn;Bengali;Indo-European;156
bho;Bhojpuri;Indo-European;1525
br;Breton;Indo-European;5206
bg;Bulgarian;Indo-European;238822
bxr;Buryat;Mongolic-Khitan;6832
ca;Catalan;Indo-European;305522
zh;Chinese;Sino-Tibetan;18865
lzh;Classical Chinese;Sino-Tibetan;93864
cop;Coptic;Afro-Asiatic;22150
hr;Croatian;Indo-European;193156
cs;Czech;Indo-European;831540
da;Danish;Indo-European;104906
nl;Dutch;Indo-European;241808
en;English;Indo-European;414215
myv;Erzya;Uralic;17458
et;Estonian;Uralic;557773
fo;Faroese;Indo-European;21133
fi;Finnish;Uralic;624845
fr;French;Indo-European;686410
gl;Galician;Indo-European;15878
de;German;Indo-European;311259
got;Gothic;Indo-European;99064
el;Greek;Indo-European;49364
gub;Guajajara;Tupian;409
he;Hebrew;Afro-Asiatic;112866
hi;Hindi;Indo-European;321197
hu;Hungarian;Uralic;41102
is;Icelandic;Indo-European;503790
id;Indonesian;Austronesian;47426
ga;Irish;Indo-European;93264
it;Italian;Indo-European;395470
jv;Javanese;Austronesian;290
urb;Kaapor;Tupian;99
krl;Karelian;Uralic;1475
arr;Karo;Tupian;1845
kk;Kazakh;Turkic;15082
quc;Kiche;Indo-European;11534
koi;Komi Permyak;Uralic;325
kpv;Komi Zyrian;Uralic;5682
ko;Korean;Koreanic;3314
kmr;Kurmanji;Indo-European;9134
la;Latin;Indo-European;1048162
lv;Latvian;Indo-European;393694
lij;Ligurian;Indo-European;2304
lt;Lithuanian;Indo-European;81462
olo;Livvi;Uralic;835
nds;Low Saxon;Indo-European;623
gv;Manx;Indo-European;13536
mr;Marathi;Indo-European;6340
gun;Mbya Guarani;Tupian;5503
mdf;Moksha;Uralic;3133
myu;Munduruku;Tupian;164
pcm;Naija;Atlantic-Congo;42928
sme;North Sami;Uralic;21639
no;Norwegian;Indo-European;631651
cu;Old Church Slavonic;Indo-European;118508
orv;Old East Slavic;Indo-European;153393
fro;Old French;Indo-European;45115
fa;Persian;Indo-European;183678
pl;Polish;Indo-European;860418
pt;Portuguese;Indo-European;197481
ro;Romanian;Indo-European;543203
ru;Russian;Indo-European;270189
sa;Sanskrit;Indo-European;25885
gd;Scottish Gaelic;Indo-European;27907
sr;Serbian;Indo-European;94856
sms;Skolt Sami;Uralic;989
sk;Slovak;Indo-European;218032
sl;Slovenian;Indo-European;286196
es;Spanish;Indo-European;660046
sv;Swedish;Indo-European;213496
tl;Tagalog;Austronesian;380
ta;Tamil;Dravidian;12602
tt;Tatar;Turkic;250
th;Thai;Tai-Kadai;612
tpn;Tupinamba;Tupian;593
tr;Turkish;Turkic;746291
qtd;Turkish German;Indo-European;21160
uk;Ukrainian;Indo-European;139882
hsb;Upper Sorbian;Indo-European;5241
ur;Urdu;Indo-European;96902
ug;Uyghur;Turkic;40174
wbp;Warlpiri;Pama-Nyungan;128
cy;Welsh;Indo-European;17026
hyw;Western Armenian;Indo-European;71303
wo;Wolof;Atlantic-Congo;21518
sjo;Xibe;Tungusic;4226
sah;Yakut;Turkic;213
yo;Yoruba;Atlantic-Congo;1151
ess;Yupik;Eskimo-Aleut;2281
