,index,task_language,task_category,hf_model_name,classifier_name,metric_names,family,full_language,layer,metric_scores,log_path
0,0,ur,Case,bigscience/bloom,logreg,f1,Indo-European,Urdu,1,0.657376431136774,D:\AIRI\dashboard_new\Probing_framework\results\experiment_2022_10_10-11_27_38_AM\2022_10_10-01_43_22_PM_ur_udtb_Case_selectivity\log.json
1,1,ur,Case,bigscience/bloom,logreg,f1,Indo-European,Urdu,2,0.657376431136774,D:\AIRI\dashboard_new\Probing_framework\results\experiment_2022_10_10-11_27_38_AM\2022_10_10-01_43_22_PM_ur_udtb_Case_selectivity\log.json
2,2,ur,Case,bigscience/bloom,logreg,f1,Indo-European,Urdu,3,0.6661330631543397,D:\AIRI\dashboard_new\Probing_framework\results\experiment_2022_10_10-11_27_38_AM\2022_10_10-01_43_22_PM_ur_udtb_Case_selectivity\log.json
3,3,ur,Case,bigscience/bloom,logreg,f1,Indo-European,Urdu,4,0.657376431136774,D:\AIRI\dashboard_new\Probing_framework\results\experiment_2022_10_10-11_27_38_AM\2022_10_10-01_43_22_PM_ur_udtb_Case_selectivity\log.json
4,4,ur,Case,bigscience/bloom,logreg,f1,Indo-European,Urdu,5,0.6661330631543397,D:\AIRI\dashboard_new\Probing_framework\results\experiment_2022_10_10-11_27_38_AM\2022_10_10-01_43_22_PM_ur_udtb_Case_selectivity\log.json
5,5,ur,Case,bigscience/bloom,logreg,f1,Indo-European,Urdu,6,0.657376431136774,D:\AIRI\dashboard_new\Probing_framework\results\experiment_2022_10_10-11_27_38_AM\2022_10_10-01_43_22_PM_ur_udtb_Case_selectivity\log.json
6,6,ur,Case,bigscience/bloom,logreg,f1,Indo-European,Urdu,7,0.657376431136774,D:\AIRI\dashboard_new\Probing_framework\results\experiment_2022_10_10-11_27_38_AM\2022_10_10-01_43_22_PM_ur_udtb_Case_selectivity\log.json
7,7,ur,Case,bigscience/bloom,logreg,f1,Indo-European,Urdu,8,0.657376431136774,D:\AIRI\dashboard_new\Probing_framework\results\experiment_2022_10_10-11_27_38_AM\2022_10_10-01_43_22_PM_ur_udtb_Case_selectivity\log.json
8,8,ur,Case,bigscience/bloom,logreg,f1,Indo-European,Urdu,9,0.657376431136774,D:\AIRI\dashboard_new\Probing_framework\results\experiment_2022_10_10-11_27_38_AM\2022_10_10-01_43_22_PM_ur_udtb_Case_selectivity\log.json
9,9,ur,Case,bigscience/bloom,logreg,f1,Indo-European,Urdu,10,0.657376431136774,D:\AIRI\dashboard_new\Probing_framework\results\experiment_2022_10_10-11_27_38_AM\2022_10_10-01_43_22_PM_ur_udtb_Case_selectivity\log.json
10,10,ur,Case,bigscience/bloom,logreg,f1,Indo-European,Urdu,11,0.657376431136774,D:\AIRI\dashboard_new\Probing_framework\results\experiment_2022_10_10-11_27_38_AM\2022_10_10-01_43_22_PM_ur_udtb_Case_selectivity\log.json
11,11,ur,Case,bigscience/bloom,logreg,f1,Indo-European,Urdu,12,0.657376431136774,D:\AIRI\dashboard_new\Probing_framework\results\experiment_2022_10_10-11_27_38_AM\2022_10_10-01_43_22_PM_ur_udtb_Case_selectivity\log.json
12,12,ur,Case,bigscience/bloom,logreg,f1,Indo-European,Urdu,13,0.657376431136774,D:\AIRI\dashboard_new\Probing_framework\results\experiment_2022_10_10-11_27_38_AM\2022_10_10-01_43_22_PM_ur_udtb_Case_selectivity\log.json
13,13,ur,Case,bigscience/bloom,logreg,f1,Indo-European,Urdu,14,0.657376431136774,D:\AIRI\dashboard_new\Probing_framework\results\experiment_2022_10_10-11_27_38_AM\2022_10_10-01_43_22_PM_ur_udtb_Case_selectivity\log.json
14,14,ur,Case,bigscience/bloom,logreg,f1,Indo-European,Urdu,15,0.657376431136774,D:\AIRI\dashboard_new\Probing_framework\results\experiment_2022_10_10-11_27_38_AM\2022_10_10-01_43_22_PM_ur_udtb_Case_selectivity\log.json
15,15,ur,Case,bigscience/bloom,logreg,f1,Indo-European,Urdu,16,0.657376431136774,D:\AIRI\dashboard_new\Probing_framework\results\experiment_2022_10_10-11_27_38_AM\2022_10_10-01_43_22_PM_ur_udtb_Case_selectivity\log.json
16,16,ur,Case,bigscience/bloom,logreg,f1,Indo-European,Urdu,17,0.657376431136774,D:\AIRI\dashboard_new\Probing_framework\results\experiment_2022_10_10-11_27_38_AM\2022_10_10-01_43_22_PM_ur_udtb_Case_selectivity\log.json
17,17,ur,Case,bigscience/bloom,logreg,f1,Indo-European,Urdu,18,0.657376431136774,D:\AIRI\dashboard_new\Probing_framework\results\experiment_2022_10_10-11_27_38_AM\2022_10_10-01_43_22_PM_ur_udtb_Case_selectivity\log.json
18,18,ur,Case,bigscience/bloom,logreg,f1,Indo-European,Urdu,19,0.657376431136774,D:\AIRI\dashboard_new\Probing_framework\results\experiment_2022_10_10-11_27_38_AM\2022_10_10-01_43_22_PM_ur_udtb_Case_selectivity\log.json
19,19,ur,Case,bigscience/bloom,logreg,f1,Indo-European,Urdu,20,0.657376431136774,D:\AIRI\dashboard_new\Probing_framework\results\experiment_2022_10_10-11_27_38_AM\2022_10_10-01_43_22_PM_ur_udtb_Case_selectivity\log.json
20,20,ur,Case,bigscience/bloom,logreg,f1,Indo-European,Urdu,21,0.657376431136774,D:\AIRI\dashboard_new\Probing_framework\results\experiment_2022_10_10-11_27_38_AM\2022_10_10-01_43_22_PM_ur_udtb_Case_selectivity\log.json
