,id,language,family,subfamily,genus,coordinates
0,1,Abun,Abun,,Abun,"['-0.50, 132.50']"
0,2,Bana,Afro-Asiatic,Chadic,Biu-Mandara,"['10.42, 13.58']"
0,3,Buduma,Afro-Asiatic,Chadic,Biu-Mandara,"['13.50, 14.50']"
0,4,Bura-Pabir,Afro-Asiatic,Chadic,Biu-Mandara,"['10.50, 12.25']"
0,5,Daba,Afro-Asiatic,Chadic,Biu-Mandara,"['10.17, 13.75']"
0,6,Ga'anda,Afro-Asiatic,Chadic,Biu-Mandara,"['10.33, 12.58']"
0,7,Gidar,Afro-Asiatic,Chadic,Biu-Mandara,"['10.00, 14.00']"
0,8,Giziga,Afro-Asiatic,Chadic,Biu-Mandara,"['10.33, 14.17']"
0,9,Gude,Afro-Asiatic,Chadic,Biu-Mandara,"['10.42, 13.42']"
0,10,Guduf,Afro-Asiatic,Chadic,Biu-Mandara,"['11.23, 13.80']"
0,11,Hdi,Afro-Asiatic,Chadic,Biu-Mandara,"['11.87, 13.72']"
0,12,Kilba,Afro-Asiatic,Chadic,Biu-Mandara,"['10.33, 13.17']"
0,13,Kotoko,Afro-Asiatic,Chadic,Biu-Mandara,"['11.33, 15.33']"
0,14,Lagwan,Afro-Asiatic,Chadic,Biu-Mandara,"['11.50, 14.83']"
0,15,Lamang,Afro-Asiatic,Chadic,Biu-Mandara,"['11.25, 13.58']"
0,16,Mada (in Cameroon),Afro-Asiatic,Chadic,Biu-Mandara,"['10.83, 14.17']"
0,17,Malgwa,Afro-Asiatic,Chadic,Biu-Mandara,"['11.50, 13.75']"
0,18,Margi,Afro-Asiatic,Chadic,Biu-Mandara,"['11.00, 13.00']"
0,19,Mbara,Afro-Asiatic,Chadic,Biu-Mandara,"['11.00, 15.42']"
0,20,Mina,Afro-Asiatic,Chadic,Biu-Mandara,"['10.33, 13.83']"
0,21,Mofu-Gudur,Afro-Asiatic,Chadic,Biu-Mandara,"['10.50, 14.00']"
0,22,Musgu,Afro-Asiatic,Chadic,Biu-Mandara,"['10.83, 14.92']"
0,23,Podoko,Afro-Asiatic,Chadic,Biu-Mandara,"['11.00, 14.08']"
0,24,Tera,Afro-Asiatic,Chadic,Biu-Mandara,"['11.00, 11.83']"
0,25,Uldeme,Afro-Asiatic,Chadic,Biu-Mandara,"['10.95, 14.12']"
0,26,Bidiya,Afro-Asiatic,Chadic,East Chadic,"['11.92, 18.75']"
0,27,Dangaléat (Western),Afro-Asiatic,Chadic,East Chadic,"['12.17, 18.33']"
0,28,Kera,Afro-Asiatic,Chadic,East Chadic,"['9.83, 15.08']"
0,29,Lele,Afro-Asiatic,Chadic,East Chadic,"['9.08, 15.58']"
0,30,Migama,Afro-Asiatic,Chadic,East Chadic,"['12.17, 19.83']"
0,31,Mokilko,Afro-Asiatic,Chadic,East Chadic,"['11.92, 18.08']"
0,32,Tumak,Afro-Asiatic,Chadic,East Chadic,"['9.50, 17.33']"
0,33,Lamé,Afro-Asiatic,Chadic,Masa,"['9.00, 14.50']"
0,34,Masa,Afro-Asiatic,Chadic,Masa,"['10.50, 15.50']"
0,35,Angas,Afro-Asiatic,Chadic,West Chadic,"['9.50, 9.50']"
0,36,Bade,Afro-Asiatic,Chadic,West Chadic,"['12.83, 10.50']"
0,37,Bole,Afro-Asiatic,Chadic,West Chadic,"['11.33, 11.25']"
0,38,Goemai,Afro-Asiatic,Chadic,West Chadic,"['8.67, 9.75']"
0,39,Hausa,Afro-Asiatic,Chadic,West Chadic,"['12.00, 7.00']"
0,40,Kanakuru,Afro-Asiatic,Chadic,West Chadic,"['10.00, 12.00']"
0,41,Kwami,Afro-Asiatic,Chadic,West Chadic,"['10.42, 11.00']"
0,42,Miya,Afro-Asiatic,Chadic,West Chadic,"['10.92, 9.67']"
0,43,Mupun,Afro-Asiatic,Chadic,West Chadic,"['9.50, 8.83']"
0,44,Ngizim,Afro-Asiatic,Chadic,West Chadic,"['12.08, 10.92']"
